FID,SUBREGION,LGA,VPA_NO,PSP_NAME,TYPE,STATUS,SHAPE_Length,SHAPE_Area
1,Southern,Cardinia Shire Council,4.5,Officer Town Centre Review,Greenfields,Yet to be Completed,0.166891779400954,0.00104811301459296
2,Northern,Whittlesea City Council,1070,Wollert,Greenfields,Complete & Approved,0.195408694493743,0.00146382176958145
3,Northern,"Mitchell Shire Council, Hume City Council, Whittlesea City Council",1066,Lockerbie,Greenfields,Complete & Approved,0.145024400471639,0.00114308157682645
4,Western,Wyndham City Council,42.1,Black Forest Road North,Greenfields,Complete & Approved,0.0986331915661519,0.000511925295582553
5,Western,Wyndham City Council,1092,Westbrook,Greenfields,Complete & Approved,0.105473880928802,0.000604767738389243
6,Northern,Hume City Council,26,Craigieburn South Employment Area,Greenfields,Yet to be Completed,0.0867970047321666,0.000200380658410908
7,Northern,"Mitchell Shire Council, Hume City Council",1065,Merrifield North,Greenfields,Yet to be Completed,0.138633445172995,0.00100681576559696
8,Northern,Hume City Council,1064,Merrifield West,Greenfields,Complete & Approved,0.140170622902619,0.000737692575261047
9,Northern,Hume City Council,24,Merrifield Central Employment Area (E1),Greenfields,Complete & Approved,0.0968515500716405,0.000433529292865507
10,Western,Melton City Council,1079,Rockbank North,Greenfields,Complete & Approved,0.118245496401825,0.000803279223929882
11,Northern,"Mitchell Shire Council, Whittlesea City Council",1098,Lockerbie North,Greenfields,Complete & Approved,0.118871424296724,0.000525322494632579
12,Northern,"Mitchell Shire Council, Mitchell Shire Council",1061,Beveridge South West,Greenfields,Yet to be Completed,0.192352083802258,0.00128824860898775
13,Northern,Whittlesea City Council,1096,Woodstock,Greenfields,Complete & Approved,0.130488580188633,0.000774318335555628
14,Western,Wyndham City Council,1090,Truganina,Greenfields,Complete & Approved,0.136649949058501,0.00111349337726123
15,Western,Wyndham City Council,1089,Tarneit North,Greenfields,Complete & Approved,0.133151491045218,0.00108957583040695
16,Western,Melton City Council,1087,Derrimut Fields,Greenfields,Yet to be Completed,0.102038042262387,0.000530480918637956
17,Western,Melton City Council,1085,Tarneit Plains,Greenfields,Complete & Approved,0.0979069582505925,0.000493199613423316
18,Western,Melton City Council,1084,Ravenhall (Quarry Site),Greenfields,Yet to be Completed,0.181076782998412,0.00154813242440906
19,Western,Melton City Council,1083,Warrawee,Greenfields,Yet to be Completed,0.0570294312020264,0.000140507993549815
20,Western,Melton City Council,1082,Mt Atkinson,Greenfields,Complete & Approved,0.134365087182315,0.00107264920974166
21,Western,Melton City Council,1073,Diggers Rest,Greenfields,Complete & Approved,0.0966302425635442,0.000399540951880218
22,Northern,"Mitchell Shire Council, Whittlesea City Council",1071,Cooper Street West,Greenfields,Yet to be Completed,0.184544856635446,0.00111365768932198
23,Northern,Whittlesea City Council,1063,Northern Freight,Greenfields,Yet to be Completed,0.209857696855491,0.00142477224345686
24,Northern,Mitchell Shire Council,1060,Beveridge North East,Greenfields,Yet to be Completed,0.104842402379136,0.00065832889560445
25,Western,Wyndham City Council,43,Alfred Road,Greenfields,Complete & Approved,0.0436857350021993,9.33396936729686e-05
26,Western,Wyndham City Council,38,Truganina South,Greenfields,Complete & Approved,0.0647327900177408,0.000256273729275949
27,Western,Wyndham City Council,36,Tarneit West,Greenfields,Complete & Approved,0.0503440504361946,0.000122585842022371
28,Western,Wyndham City Council,35,Riverwalk,Greenfields,Complete & Approved,0.0724155024320069,0.000207904175115831
29,Western,Wyndham City Council,34,Point Cook Homestead Road,Greenfields,Complete & Approved,0.106089206483466,0.000297080486459736
30,Northern,Whittlesea City Council,33,Epping North East,Greenfields,Complete & Approved,0.0930630642081268,0.000465315909559608
31,Western,Melton City Council,29,Robinsons Road Employment Area South,Greenfields,Complete & Approved,0.0652424470124995,0.000218392507521622
32,Western,Melton City Council,28,Robinsons Road Employment Area North,Greenfields,Complete & Approved,0.034358379632105,7.08867374219237e-05
33,Northern,Hume City Council,20,Folkstone Employment Area (E1),Greenfields,Complete & Approved,0.0968386003409688,0.000465493806433446
34,Southern,Casey City Council,18,Hampton Park South,Greenfields,Yet to be Completed,0.0557695042739368,0.000111865199777741
35,Southern,Casey City Council,17,Cranbourne West,Greenfields,Complete & Approved,0.148114950109507,0.000815446321805284
36,Southern,Casey City Council,11,Minta Farm,Greenfields,Complete & Approved,0.0778558273597314,0.000292467112317061
37,Southern,Cardinia Shire Council,6,Pakenham South Employment,Greenfields,Yet to be Completed,0.0594399519990634,0.000186759484077845
38,Southern,Cardinia Shire Council,2,Cardinia Road,Greenfields,Complete & Approved,0.160800993228836,0.00118770221943047
39,Western,Wyndham City Council,39,East Werribee Employment Precinct,Greenfields,Complete & Approved,0.137965680021587,0.000796309250723585
40,Western,Wyndham City Council,1093.1,Bayview,Greenfields,Yet to be Completed,0.0685650649270337,0.000282438194679699
41,Western,Wyndham City Council,42.2,Black Forest Road South,Greenfields,Complete & Approved,0.105138941202727,0.000519155412845639
42,Western,Wyndham City Council,41,Manor Lakes,Greenfields,Complete & Approved,0.0855919265786774,0.000395842959440417
43,Northern,"Mitchell Shire Council, Mitchell Shire Council",1059,Beveridge North West,Greenfields,Yet to be Completed,0.149411018501151,0.00130276184430584
44,Western,Wyndham City Council,1208,Werribee Junction,Greenfields,Yet to be Completed,0.165650557064727,0.00117048875591139
45,Southern,Casey City Council,1209,Brompton Lodge,Greenfields,Complete & Approved,0.0520969030732902,0.000115027069042614
46,Northern,Whittlesea City Council,1212,Granite Hills,Greenfields,Yet to be Completed,0.00445861045498201,5.76325871758107e-07
47,Northern,Hume City Council,1203,Somerton Road,Greenfields,Yet to be Completed,0.0163703586494195,1.64033423823883e-05
48,Western,Melton City Council,1204,Minns Road,Greenfields,Yet to be Completed,0.0190850660001151,1.87319968268455e-05
49,Southern,Casey City Council,12,Casey Central Town Centre,Greenfields,Complete & Approved,0.0368069544976343,6.3219294922564e-05
50,Northern,Hume City Council,1095,Sunbury West,Greenfields,Yet to be Completed,0.147226965090476,0.000381119294593089
51,Northern,Hume City Council,1202,Lindum Vale,Greenfields,Complete & Approved,0.0513878007316663,0.000147195270223051
52,Western,Wyndham City Council,1093,Mambourin East,Greenfields,Yet to be Completed,0.115131358779216,0.000574922676967529
53,Western,Wyndham City Council,37,Truganina Employment Area,Greenfields,Complete & Approved,0.192164123511462,0.000676350950467484
54,Northern,Whittlesea City Council,32,Aurora,Greenfields,Complete & Approved,0.117610955173453,0.000604107510165042
55,Western,Melton City Council,30,Taylors Hill West,Greenfields,Complete & Approved,0.0759358354728814,0.00022100828018962
56,Western,Melton City Council,27,Melton North,Greenfields,Complete & Approved,0.057811851860358,0.00010796156687756
57,Western,Melton City Council,1205,Bulmans Road,Greenfields,Yet to be Completed,0.0614957700927527,0.000219255400172128
58,Northern,Hume City Council,23,Greenvale West (R3),Greenfields,Complete & Approved,0.0463736759295114,0.000107388162589093
59,Northern,Hume City Council,21,Greenvale Central,Greenfields,Complete & Approved,0.0835585984327356,0.000212006666955612
60,Northern,Hume City Council,1021,Woodlands,Greenfields,Complete & Approved,0.0335611665709435,3.30919816262258e-05
61,Northern,Hume City Council,22,Greenvale North  (R1),Greenfields,Complete & Approved,0.107630277720262,0.000242778235153641
62,Southern,Casey City Council,1057,Casey Fields South,Greenfields,Yet to be Completed,0.0683075963601889,0.000240048723700369
63,Southern,Casey City Council,1057.1,Casey Fields South Residential,Greenfields,Complete & Approved,0.055801758996285,0.000113052972817648
64,Southern,Casey City Council,1054,Clyde Creek,Greenfields,Complete & Approved,0.14889375479908,0.00118585315538661
65,Southern,Casey City Council,1053,Thompsons Road,Greenfields,Complete & Approved,0.13317547960737,0.000713924227734369
66,Southern,Casey City Council,1051,Croskell (Casey Central),Greenfields,Yet to be Completed,0.0967937379830608,0.000279402269203662
67,Southern,Casey City Council,1044,Collison Estate,Greenfields,Complete & Approved,0.0413738675422299,8.60929573635403e-05
68,Southern,Casey City Council,1058,Devon Meadows,Greenfields,Yet to be Completed,0.0736175681381519,0.000268771378004113
69,Southern,Casey City Council,16,Cranbourne North (Stage 2),Greenfields,Complete & Approved,0.0716081607534653,0.000194478538575652
70,Southern,Casey City Council,15,Cranbourne North (Stage 1),Greenfields,Complete & Approved,0.0864312590069291,0.000318766400796963
71,Northern,Hume City Council,19,Craigieburn (R2),Greenfields,Complete & Approved,0.112910102440253,0.000462908933301099
72,Southern,Cardinia Shire Council,4,Officer,Greenfields,Complete & Approved,0.166891779400954,0.00104811301459296
73,Southern,Cardinia Shire Council,3,Cardinia Road Employment Precinct,Greenfields,Complete & Approved,0.118245685503422,0.00060383492790119
74,Western,Wyndham City Council,1207,Aviators Field,Greenfields,Yet to be Completed,0.095880637579075,0.000422175748832173
75,Western,Wyndham City Council,1092.1,Quandong PSP,Greenfields,Yet to be Completed,0.0583787309376944,0.000156911177128698
76,Southern,Casey City Council,14,Cranbourne East,Greenfields,Complete & Approved,0.162610620898275,0.000594088325435032
77,Western,Wyndham City Council,1207.1,Lincoln Heath South,Greenfields,Complete & Approved,0.02759105197093,4.4387168772339e-05
78,Western,Wyndham City Council,40,Ballan Road,Greenfields,Complete & Approved,0.128809527336553,0.000552984853523157
79,Western,Wyndham City Council,1091,Riverdale,Greenfields,Complete & Approved,0.1617029449566,0.00113322765659096
80,Western,Wyndham City Council,1088,Oakbank,Greenfields,Yet to be Completed,0.15466965712742,0.00107958171846634
81,Western,Melton City Council,31,Toolern,Greenfields,Complete & Approved,0.334361309781384,0.00214766299450637
82,Western,Melton City Council,1097,Toolern Park,Greenfields,Complete & Approved,0.0428525252323789,0.000108864654646128
83,Western,Melton City Council,1081,Rockbank South,Greenfields,Yet to be Completed,0.154215010332486,0.000718391043822447
84,Western,Melton City Council,1099,Rockbank,Greenfields,Complete & Approved,0.134545821289969,0.000768194006022537
85,Western,Melton City Council,31.2,Paynes Road,Greenfields,Complete & Approved,0.0603325649161009,0.000201570468562593
86,Southern,Casey City Council,10,Botanic Ridge,Greenfields,Complete & Approved,0.112086984914651,0.000326424533537928
87,Southern,Casey City Council,1055,Cardinia Creek South (McPherson),Greenfields,Complete & Approved,0.157295136719321,0.000871915850063578
88,Northern,Whittlesea City Council,25.2,English Street,Greenfields,Complete & Approved,0.0519111285871382,0.000145810429603661
89,Northern,Hume City Council,25.1,Craigieburn North Employment Area,Greenfields,Complete & Approved,0.123605481477636,0.000497910470365324
90,Southern,Casey City Council,1218,Botanic Ridge (Stage 4),Greenfields,Complete & Approved,0.0427775972461503,7.06410955031708e-05
91,Southern,Casey City Council,1056,Clyde South,Greenfields,Yet to be Completed,0.14566297824506,0.00113005896231047
92,Southern,Casey City Council,9,Berwick Waterways,Greenfields,Complete & Approved,0.0425111782080334,8.7848533233464e-05
93,Western,Melton City Council,1077,Warrensbrook,Greenfields,Yet to be Completed,0.168812384173,0.000967816423933594
94,Western,Melton City Council,1076,Melton East,Greenfields,Yet to be Completed,0.186610319703208,0.00101305822555411
95,Western,Melton City Council,1206,Melton West,Greenfields,Yet to be Completed,0.0980760558479624,0.000361441264095956
96,Northern,Whittlesea City Council,1094,Quarry Hills,Greenfields,Complete & Approved,0.102404057854762,0.000284459145197269
97,Southern,Cardinia Shire Council,7,Pakenham West Employment,Greenfields,Yet to be Completed,0.0798365491578992,0.000230404960549247
98,Western,Melton City Council,1086,Chartwell East,Greenfields,Yet to be Completed,0.115822342853636,0.000560732639395954
99,Southern,Cardinia Shire Council,3.5,Cardinia Road Corridor (Review),Greenfields,Yet to be Completed,0.118245685503422,0.00060383492790119
100,Northern,Whittlesea City Council,1069.1,Shenstone Park,Greenfields,Yet to be Completed,0.114933235505529,0.000640581365856706
101,Northern,"Hume City Council, Whittlesea City Council",1069,Northern Quarries,Greenfields,Yet to be Completed,0.220255888321524,0.00163330662877786
102,Northern,Mitchell Shire Council,1201.3,Wallan East (Part 2),Greenfields,Yet to be Completed,0.0924749859913784,0.000411931271593916
103,Northern,Whittlesea City Council,5460,Mernda Town Centre,Greenfields,Complete & Approved,0.0251911235182208,3.40461298647694e-05
104,Northern,"Mitchell Shire Council, Hume City Council",1065.1,Merrifield North Masterplan,Greenfields,Yet to be Completed,0.138633445172995,0.00100681576559696
105,Northern,Hume City Council,1075,Lancefield Road,Greenfields,Complete & Approved,0.20425105605645,0.00111760324196898
106,Northern,Hume City Council,1072,Sunbury North,Greenfields,Yet to be Completed,0.176250120672487,0.00086521636608188
107,Northern,Hume City Council,1074,Sunbury South,Greenfields,Complete & Approved,0.303623032711699,0.00183461295505053
108,Western,Melton City Council,1080,Kororoit,Greenfields,Complete & Approved,0.15006842817697,0.000945679866984155
109,Western,Melton City Council,1078,Plumpton,Greenfields,Complete & Approved,0.136746361120022,0.00103790202848845
110,Northern,"Mitchell Shire Council, Whittlesea City Council",1067,Donnybrook,Greenfields,Complete & Approved,0.140541213066904,0.00104617030090652
111,Southern,Cardinia Shire Council,1210,Pakenham East,Greenfields,Yet to be Completed,0.119376937426356,0.000646994885583944
112,Northern,Mitchell Shire Council,1201.1,Wallan South,Greenfields,Yet to be Completed,0.162821355337023,0.000820449203186858
113,Southern,Cardinia Shire Council,3.2,Cardinia Road Employment (Part 2),Greenfields,Yet to be Completed,0.0508257013839444,9.27155331229334e-05
114,Western,Wyndham City Council,39.1,Point Cook West,Greenfields,Complete & Approved,0.0553990373032618,0.000141610020594441
115,Northern,"Mitchell Shire Council, Mitchell Shire Council",1062,Beveridge Central,Greenfields,Complete & Approved,0.082396648105352,0.000296377849122486
116,Southern,Casey City Council,13,Clyde North,Greenfields,Complete & Approved,0.160455814136336,0.00049209638256248
117,Northern,Mitchell Shire Council,1201.2,Wallan East (Part 1),Greenfields,Yet to be Completed,0.0482940043494298,0.000143554230853215
118,Southern,Casey City Council,1052,Pound Road,Greenfields,Complete & Approved,0.0554021778525744,0.000137057147987356
119,Southern,Casey City Council,1055.1,Cardinia Creek South (Part 2),Greenfields,Yet to be Completed,0.0496243173282493,0.000106844139507138
120,Northern,Whittlesea City Council,1050,Mernda Western Strip,Greenfields,Yet to be Completed,0.057547009740274,3.79210409033717e-05
121,Western,Melton City Council,1080.2,Kororoit (Part 2),Greenfields,Yet to be Completed,0.0815967627396358,5.46917726580918e-05
122,Northern,Hume City Council,1068,Craigieburn West,Greenfields,Yet to be Completed,0.146220213478405,0.000573600270086763
123,Southern,Cardinia Shire Council,5,Officer South Employment,Greenfields,Yet to be Completed,0.163637822060061,0.0010955091848386
